"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",568,84,23,6,6,2,4,4,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0
"2",572,81,19,13,6,2,4,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"3",580,74,20,10,5,5,4,2,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0
"4",553,80,26,10,5,6,5,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0
"5",569,77,19,17,6,1,5,3,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"6",574,71,19,13,5,5,3,3,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
"7",557,78,27,10,5,3,2,4,0,2,0,1,1,0,0,0,0,1,0,1,0,0,0
"8",560,79,22,12,6,4,1,2,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"9",550,86,17,13,7,3,2,3,2,0,1,2,0,0,0,1,0,0,0,0,1,0,0
"10",563,82,20,16,4,3,2,4,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
"11",567,78,21,11,6,2,0,5,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0
"12",577,75,25,5,4,8,5,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0
"13",580,68,25,13,4,1,7,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0
"14",564,86,24,13,6,5,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0
"15",551,81,19,12,7,3,6,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0
"16",559,77,22,12,4,4,2,4,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0
"17",584,79,18,17,7,2,0,1,2,0,2,0,0,2,0,0,0,0,1,0,0,0,0
"18",550,87,20,6,5,7,4,2,1,0,0,2,0,0,1,0,0,1,0,0,1,0,0
"19",568,73,15,15,6,1,5,4,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"20",569,77,22,8,6,4,2,4,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0
"21",565,80,20,11,6,7,2,1,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"22",567,79,25,6,11,1,4,3,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0
